MatrixSize,BatchSize,SGEMM_GFLOPS,BRGEMM_GFLOPS,Speedup
512,2,30.505317,1513.494233,49.614112
512,4,68.379458,2223.885686,32.522716
512,8,128.072363,2763.988524,21.581460
512,16,212.375351,2458.460739,11.576017
512,32,444.188353,1328.330185,2.990466
512,64,979.908292,1282.774288,1.309076
512,128,1738.114985,1898.103775,1.092047
512,256,2657.638709,2621.773823,0.986505
4096,2,368.728021,3806.741483,10.323982
4096,4,740.755859,3717.771079,5.018889
4096,8,1214.445698,4683.871511,3.856798
4096,16,2418.286356,5394.986130,2.230913
4096,32,4317.958509,4617.658895,1.069408
4096,64,4974.111266,4831.894663,0.971409
4096,128,5079.027786,5576.445200,1.097936
