MatrixSize,BatchSize,SGEMM_GFLOPS,BRGEMM_GFLOPS,Speedup
512,2,64.149112,1763.680059,27.493445
512,4,145.661852,3588.889229,24.638498
512,8,242.374436,4103.880759,16.931987
512,16,436.590602,2671.666482,6.119386
512,32,675.690153,3246.070408,4.804081
512,64,956.925097,3414.758624,3.568470
512,128,1060.377882,4321.884533,4.075797
512,256,1084.098577,5181.297774,4.779360
4096,2,3371.311840,3699.523896,1.097354
4096,4,3561.995353,3721.570577,1.044799
4096,8,3625.121942,3725.352053,1.027649
4096,16,3665.377110,3729.190536,1.017410
4096,32,3697.143208,3734.544458,1.010116
4096,64,3702.700163,5053.478754,1.364809
4096,128,3700.808054,5570.435450,1.505194
4096,256,3725.107789,5913.083332,1.587359
8192,2,6110.709919,6239.056372,1.021004
8192,4,6123.787728,6203.966748,1.013093
8192,8,6064.316583,6109.623858,1.007471
8192,16,6041.012060,6037.494721,0.999418
8192,32,5967.831934,5976.010697,1.001370
8192,64,5945.515164,5010.469679,0.842731
8192,128,5911.406451,5613.261495,0.949564
8192,256,5897.049945,5876.976654,0.996596
