MatrixSize,L1_Loads,L1_Misses,L1_MissRate,L2_Loads,L2_Misses,L2_MissRate,LLC_Loads,LLC_Misses,LLC_MissRate
8,6343980,165890,2.61,151653,54680,36.06,64739,23896,36.91
16,6513611,169233,2.60,202669,58474,28.85,68535,10985,16.03
32,6477705,208461,3.22,259376,62009,23.91,94175,4945,5.25
64,10953431,721892,6.59,377006,140426,37.25,158120,3780,2.39
256,53947464,3067686,5.69,3393035,400962,11.82,264124,9976,3.78
512,136405421,15821496,11.60,10454046,506437,4.84,1306022,13991,1.07
1024,561347910,106967537,19.06,99381787,18952616,19.07,19357622,46355,0.24
2048,4148281712,260322781,6.28,216111631,33638866,15.57,36410424,385674,1.06
3072,10857499409,2283431524,21.03,2277210934,95538833,4.20,99231540,3544106,3.57
4096,25252984843,5635029097,22.31,5761933853,181797087,3.16,182236349,14510141,7.96
5120,48950410109,10568805681,21.59,10550297118,274493492,2.60,283049256,29777966,10.52
6144,88563347742,17091849489,19.30,17061889826,56841764,0.33,70967615,41329783,58.24
7168,142762175325,26693231503,18.70,26754888221,102841534,0.38,135546849,70403937,51.94
8192,210031882719,38901859478,18.52,38910743045,139772891,0.36,175478544,90245234,51.43
