MatrixSize,L1_Loads,L1_Misses,L1_MissRate,L2_Loads,L2_Misses,L2_MissRate,LLC_Loads,LLC_Misses,LLC_MissRate
8,6278251,180701,2.88,196032,82174,41.92,91793,41493,45.20
16,5922343,162883,2.75,227262,56633,24.92,84261,24370,28.92
32,6236038,162439,2.60,159871,61719,38.61,62101,7101,11.43
64,10843993,267113,2.46,413740,249666,60.34,334394,5375,1.61
256,40938941,1454386,3.55,3150797,336206,10.67,489584,6958,1.42
512,85465766,12287115,14.38,14905867,1151983,7.73,523891,4934,0.94
1024,521123643,69412138,13.32,70115652,20565879,29.33,22109342,75977,0.34
2048,2996076351,599305155,20.00,715241296,49623047,6.94,43612021,221963,0.51
3072,10765357788,2276709294,21.15,2270916679,96682474,4.26,98006717,3560865,3.63
4096,26138455637,5693662058,21.78,5591796107,175400872,3.14,182050332,14606278,8.02
5120,48729634078,10358513552,21.26,10378942998,275954195,2.66,284339936,29307375,10.31
6144,88512694139,16713401588,18.88,16686191337,59531663,0.36,70167679,39123083,55.76
7168,144814296296,26932760603,18.60,26869563141,104138128,0.39,135856386,70366801,51.79
8192,210780848635,40604313178,19.26,40582292536,142849732,0.35,177550071,90515727,50.98
