MatrixSize,L1_Loads,L1_Misses,L1_MissRate,L2_Loads,L2_Misses,L2_MissRate,LLC_Loads,LLC_Misses,LLC_MissRate
8,9740099,319211,3.28,163891,93819,57.24,93686,3336,3.56
16,4656262,168904,3.63,175875,95368,54.22,60187,5676,9.43
32,4316967,131052,3.04,177719,103940,58.49,104948,1888,1.80
64,71305818,322609,0.45,227659,139615,61.33,141103,1636,1.16
256,28423219,1996800,7.03,1449081,352310,24.31,466222,4592,0.98
512,126310574,5965571,4.72,9685770,1443369,14.90,4576348,17729,0.39
1024,1090265088,115452879,10.59,113817534,9943011,8.74,33104814,117293,0.35
2048,8015410563,782255824,9.76,829573386,69099507,8.33,252802668,487302,0.19
3072,27944773345,2042536076,7.31,2067356840,167289641,8.09,557391588,3481534,0.62
4096,65199869881,2813997360,4.32,2824350494,197420586,6.99,678317769,10357995,1.53
5120,127382234034,10994733921,8.63,10964528642,844308962,7.70,3047877610,22023475,0.72
6144,219810002114,23355529137,10.63,23180068000,1659218998,7.16,6535298734,35336855,0.54
7168,342277214256,31350713031,9.16,32153761002,2486987122,7.73,9981985004,46333874,0.46
8192,516208434189,43861773547,8.50,44019354615,3578470105,8.13,14353226689,74484844,0.52
