MatrixSize1,MatrixSize2,MatrixSize3,SGEMM_GFLOPS,BRGEMM_GFLOPS
8,8,16,8,16,0.000815,1.347900
16,16,32,16,32,0.004590,12.742262
32,32,64,32,64,0.044530,55.922860
64,64,128,64,128,0.343931,86.852978
256,256,512,256,512,20.138964,342.398452
512,512,1024,512,1024,156.559208,743.077938
1024,1024,2048,1024,2048,875.332682,1207.434122
2048,2048,4096,2048,4096,2444.858460,2536.476850
3072,3072,6144,3072,6144,3386.943123,3927.617919
4096,4096,8192,4096,8192,3681.682872,4286.337292
5120,5120,10240,5120,10240,3821.136581,4498.422409
6144,6144,12288,6144,12288,6142.065522,6433.247884
7168,7168,14336,7168,14336,6227.943463,6447.541047
8192,8192,16384,8192,16384,6149.132378,6539.741734
